X,Y,id,state_code_2021,state_name_2021,lga_code_2024,lga_name_2024,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012,erp_2013,erp_2014,erp_2015,erp_2016,erp_2017,erp_2018,erp_2019,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_change_number_2023_24,erp_change_per_cent_2023_24,area_km2,pop_density_2024_people_per_km2,births_2021_22,deaths_2021_22,natural_increase_2021_22,internal_arrivals_2021_22,internal_departures_2021_22,net_internal_migration_2021_22,overseas_arrivals_2021_22,overseas_departures_2021_22,net_overseas_migration_2021_22,births_2022_23,deaths_2022_23,natural_increase_2022_23,internal_arrivals_2022_23,internal_departures_2022_23,net_internal_migration_2022_23,overseas_arrivals_2022_23,overseas_departures_2022_23,net_overseas_migration_2022_23,births_2023_24,deaths_2023_24,natural_increase_2023_24,internal_arrivals_2023_24,internal_departures_2023_24,net_internal_migration_2023_24,overseas_arrivals_2023_24,overseas_departures_2023_24,net_overseas_migration_2023_24,green_space_by_LGA_Green_space_ha,pop_density,Green_Pct
0,0,"1","1",New South Wales,"10050",Albury,"45265","45816","46180","46505","47004","47566","48140","48518","48814","49222","49451","49785","50338","50990","51486","52171","53056","53922","54657","55466","56067","56665","57509","58317","808","1.405","305.6386","190.8038","720","551","169","4198","4000","198","436","205","231","682","527","155","3476","3211","265","584","160","424","734","485","249","3486","3260","226","508","175","333",,"190.803779365564",
0,0,"2","1",New South Wales,"10180",Armidale,"27906","27774","27610","27410","27350","27377","27468","27788","28156","28409","28573","28748","28895","29015","29160","29310","29519","29631","29701","29600","29332","29361","29588","29646","58","0.196","7809.4406","3.7962","336","240","96","2458","2774","-316","467","218","249","359","287","72","2090","2426","-336","663","172","491","335","256","79","2017","2397","-380","545","186","359",,"3.79617459411882",
0,0,"3","1",New South Wales,"10250",Ballina,"37856","38417","38870","39120","39305","39537","39824","40020","40295","40571","40747","41118","41510","41881","42336","42993","43652","44385","44997","45663","46196","46849","47277","47935","658","1.3918","484.9692","98.8413","453","491","-38","4084","3594","490","377","176","201","424","516","-92","3058","2904","154","505","139","366","400","548","-148","3316","2798","518","438","150","288",,"98.8413284802416",
0,0,"4","1",New South Wales,"10300",Balranald,"2751","2703","2661","2596","2545","2507","2473","2433","2404","2381","2353","2363","2381","2376","2364","2330","2338","2308","2287","2257","2208","2210","2202","2219","17","0.772","21690.7493","0.1023","25","17","8","196","210","-14","13","5","8","32","28","4","147","175","-28","22","6","16","18","31","-13","144","127","17","19","6","13",,"0.102301675673325",
0,0,"5","1",New South Wales,"10470",Bathurst,"35504","35831","36084","36245","36547","36916","37272","37904","38848","39484","39960","40301","40727","41157","41694","42244","42583","42882","43207","43444","43674","44110","44606","44939","333","0.7465","3817.8645","11.7707","575","389","186","3181","3074","107","270","127","143","538","359","179","2345","2279","66","349","98","251","521","408","113","2323","2310","13","316","109","207",,"11.7707163258413",
0,0,"6","1",New South Wales,"10500",Bayside (NSW),"129075","129377","130598","131144","132112","133205","135831","139556","142527","144295","144985","148028","151309","154980","159222","164534","168779","171377","173913","176184","176229","177992","182945","185880","2935","1.6043","50.6204","3672.037","2482","1185","1297","13456","15980","-2524","5856","2866","2990","2181","1158","1023","10028","13480","-3452","9910","2528","7382","2036","1146","890","10079","13676","-3597","8407","2765","5642",,"3672.03736043176",
0,0,"7","1",New South Wales,"10550",Bega Valley,"30425","30790","31056","31406","31608","31829","32183","32367","32620","32962","33128","33288","33430","33562","33713","33941","34287","34674","35026","35428","35770","35985","36278","36593","315","0.8683","6278.5013","5.8283","332","379","-47","2422","2240","182","150","70","80","314","375","-61","1869","1653","216","194","56","138","284","386","-102","1969","1689","280","198","61","137",,"5.82830173181616",
0,0,"8","1",New South Wales,"10600",Bellingen,"12634","12673","12705","12672","12682","12716","12773","12787","12837","12891","12923","12909","12920","12929","12936","12951","12976","13006","13046","13152","13203","13261","13231","13278","47","0.3552","1600.4338","8.2965","125","134","-9","1260","1232","28","72","33","39","93","140","-47","856","910","-54","96","25","71","103","127","-24","826","812","14","85","28","57",,"8.29650061127177",
0,0,"9","1",New South Wales,"10650",Berrigan,"8075","8058","8035","8014","8076","8160","8204","8237","8282","8291","8297","8365","8436","8519","8568","8609","8638","8645","8649","8653","8615","8652","8643","8666","23","0.2661","2065.8878","4.1948","80","115","-35","659","617","42","56","26","30","80","139","-59","599","605","-6","76","20","56","77","110","-33","568","555","13","66","23","43",,"4.19480670731489",
0,0,"10","1",New South Wales,"10750",Blacktown,"263103","267048","268806","271434","275206","278894","284925","292002","299450","306601","312346","317735","324797","331825","339449","348030","359591","369384","380186","391911","399925","410944","426075","438843","12768","2.9967","238.8471","1837.339","6050","1983","4067","31145","27608","3537","6472","3057","3415","5866","2035","3831","24767","22697","2070","11710","2480","9230","5834","1940","3894","25316","23427","1889","9701","2716","6985",,"1837.3386153736",
0,0,"11","1",New South Wales,"10800",Bland,"6603","6529","6453","6360","6263","6212","6178","6113","6101","6049","6021","6034","6028","6034","6027","6024","5936","5849","5755","5649","5544","5493","5463","5454","-9","-0.1647","8557.6536","0.6373","88","61","27","379","467","-88","20","10","10","78","62","16","292","359","-67","29","8","21","88","70","18","275","319","-44","25","8","17",,"0.637324231025196",
0,0,"12","1",New South Wales,"10850",Blayney,"6478","6545","6562","6598","6649","6741","6821","6900","7041","7143","7217","7274","7303","7322","7322","7343","7375","7406","7450","7484","7511","7590","7643","7767","124","1.6224","1524.647","5.0943","93","51","42","570","547","23","26","12","14","105","68","37","464","472","-8","34","10","24","96","64","32","528","462","66","36","10","26",,"5.09429395788009",
0,0,"13","1",New South Wales,"10900",Blue Mountains,"76528","76656","76651","76436","75971","75600","76198","77102","77869","78227","78553","78532","78705","78867","78889","78835","78989","79107","79077","79031","78372","77913","78437","78891","454","0.5788","1431.1442","55.1244","690","618","72","4914","5766","-852","602","281","321","686","569","117","3750","4111","-361","988","220","768","637","600","37","3894","4118","-224","882","241","641",,"55.1244242194462",
0,0,"14","1",New South Wales,"10950",Bogan,"3156","3105","3052","3027","2964","2939","2972","2992","2999","3013","3009","2982","2926","2894","2846","2764","2708","2648","2602","2514","2480","2454","2420","2407","-13","-0.5372","14599.8996","0.1649","45","25","20","153","206","-53","13","6","7","35","30","5","102","151","-49","15","5","10","35","37","-2","153","173","-20","14","5","9",,"0.164864147421945",
0,0,"15","1",New South Wales,"11150",Bourke,"3919","3781","3642","3494","3349","3185","3073","3046","3013","3033","3053","2998","2903","2870","2801","2762","2695","2600","2534","2483","2416","2348","2364","2349","-15","-0.6345","41598.3722","0.0565","39","29","10","246","331","-85","13","6","7","44","20","24","164","178","-14","11","5","6","60","23","37","170","227","-57","10","5","5",,"0.0564685557575736",
